26
xf=101.000000yf=159.000000 xvr=101.853230yvr=158.806104
xf=101.000000yf=149.000000 xvr=101.514011yvr=148.899940
xf=112.000000yf=149.000000 xvr=112.371676yvr=148.824090
xf=112.000000yf=159.000000 xvr=112.668429yvr=158.723075
xf=135.000000yf=146.000000 xvr=135.904290yvr=146.410284
xf=135.000000yf=140.000000 xvr=135.757402yvr=139.319866
xf=143.000000yf=139.000000 xvr=143.474275yvr=139.270998
xf=143.000000yf=146.000000 xvr=143.599686yvr=146.357736
xf=188.600000yf=189.000000 xvr=187.695048yvr=189.359626
xf=188.000000yf=172.000000 xvr=187.688230yvr=172.420132
xf=206.000000yf=172.000000 xvr=206.357866yvr=172.258102
xf=206.000000yf=190.000000 xvr=206.239472yvr=189.176635
xf=224.000000yf=170.000000 xvr=223.701814yvr=169.517718
xf=224.000000yf=157.000000 xvr=223.874862yvr=157.030184
xf=237.000000yf=157.000000 xvr=237.499818yvr=156.926389
xf=237.000000yf=170.000000 xvr=237.259963yvr=169.402520
xf=203.000000yf=155.000000 xvr=202.358137yvr=155.554248
xf=203.000000yf=146.000000 xvr=202.408466yvr=146.193857
xf=212.000000yf=146.000000 xvr=211.646154yvr=146.130623
xf=212.000000yf=155.000000 xvr=211.561955yvr=155.485194
xf=183.000000yf=146.000000 xvr=183.238770yvr=145.780351
xf=183.000000yf=136.000000 xvr=183.218363yvr=136.260615
xf=190.000000yf=136.000000 xvr=190.673262yvr=136.214849
xf=190.000000yf=146.000000 xvr=190.665938yvr=145.729794
xf=88.000000yf=170.000000 xvr=87.589792yvr=170.571499
xf=89.000000yf=186.300000 xvr=88.241152yvr=186.833997
avx=0.505032avy=0.344056max=0.904952may=0.823365mix=0.125138miy=-0.030184
